dataset,image_id,method,source_path,niqe,mean_luma,over,under,dark_ratio,contrast,sharpness_proxy,noise_proxy
DICM,56.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/56.jpg,3.0692289302122537,0.340553879737854,0.02278841769265846,0.0011029411764705882,0.11404183766529868,0.22857998311519623,1362.7542724609375,0.01851568929851055
DICM,56.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/56.png,3.386848467697882,0.4033474326133728,1.1399908800729594e-05,0.0,0.043265503875968996,0.22187922894954681,942.70751953125,0.013944931328296661
DICM,57.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/57.jpg,4.722931939988133,0.5998751521110535,0.003888020833333333,0.0,0.0001953125,0.25926312804222107,72.79473114013672,0.015591689385473728
DICM,57.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/57.png,4.685061691430913,0.6110135316848755,0.0001484375,0.0,3.6458333333333336e-05,0.24805542826652527,64.53568267822266,0.009508946910500526
DICM,58.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/58.jpg,4.56001998261661,0.5063861608505249,5.46875e-05,0.0,0.004895833333333334,0.2556198835372925,59.92021179199219,0.007421642076224089
DICM,58.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/58.png,4.6350325059433635,0.5269709229469299,0.0,0.0,0.00048697916666666665,0.24352985620498657,52.74358367919922,0.00795032549649477
DICM,59.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/59.jpg,3.3944096070930287,0.3061186969280243,0.035873842592592596,0.004835069444444445,0.31396412037037036,0.29026493430137634,913.4600830078125,0.01161070168018341
DICM,59.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/59.png,3.4676761407741643,0.381901353597641,3.18287037037037e-05,0.0,0.04706886574074074,0.272722065448761,529.9180297851562,0.008823007345199585
DICM,60.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/60.jpg,4.9314488045141385,0.3032788038253784,0.005268229166666667,0.000234375,0.15233854166666666,0.21702195703983307,346.4278564453125,0.009808381088078022
DICM,60.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/60.png,6.402829251565842,0.45264604687690735,0.0,0.0,0.013700520833333334,0.21177321672439575,319.05438232421875,0.010981053113937378
DICM,61.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/61.jpg,2.9495908093999597,0.2677064836025238,0.02328231292517007,0.0002919501133786848,0.42209183673469386,0.2693667411804199,1847.2210693359375,0.023990381509065628
DICM,61.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/61.png,2.8437505206642437,0.35389599204063416,8.786848072562358e-05,0.0,0.009461451247165532,0.25970056653022766,1085.2479248046875,0.020685475319623947
DICM,62.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/62.jpg,7.39556244642859,0.3882189393043518,0.006697916666666666,0.0,0.01578125,0.17959246039390564,20.168930053710938,0.0016929098637774587
DICM,62.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/62.png,7.251831216347794,0.5104542970657349,0.0,0.0,0.0,0.15740500390529633,15.105269432067871,0.0046144467778503895
DICM,63.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/63.jpg,5.910898954791347,0.6196211576461792,0.0010625,0.0,7.8125e-06,0.11824699491262436,308.4473876953125,0.03215620666742325
DICM,63.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/63.png,5.934615046267144,0.6382509469985962,0.0005651041666666667,0.0,2.6041666666666666e-06,0.11250291764736176,274.04913330078125,0.0
DICM,64.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/64.jpg,5.775376193497234,0.5250269174575806,0.033765625,2.6041666666666666e-06,0.005354166666666667,0.2178918570280075,99.04918670654297,0.008331862278282642
DICM,64.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/64.png,5.833833772579622,0.5498554110527039,0.0020885416666666665,0.0,0.0036432291666666666,0.20598623156547546,83.95428466796875,0.007395780645310879
DICM,65.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/65.jpg,3.046380808122095,0.27634891867637634,0.03549076607387141,0.06512482900136798,0.35080369357045144,0.2819000482559204,1357.57177734375,0.027441944926977158
DICM,65.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/65.png,3.0739653314716477,0.3419734537601471,0.0,0.0,0.2179406064751482,0.27032506465911865,863.2749633789062,0.015065852552652359
DICM,66.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/66.jpg,5.985032775108398,0.7610489130020142,0.5312604166666667,0.0,0.0,0.28329652547836304,70.64988708496094,0.010228047147393227
DICM,66.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/66.png,5.797843294136145,0.7589192986488342,0.48278645833333333,0.0,0.0,0.27051568031311035,63.274166107177734,0.009694689884781837
